ID,Lat,Lon,Lead
B1,37.82246710,-122.23004710,0
B10,37.82309770,-122.22922370,104
B12,37.82378840,-122.22896180,14
B13,37.82321290,-122.22990100,0
B15,37.82523550,-122.23038610,27
B16,37.82253280,-122.22969880,0
B17,37.82310750,-122.22926760,7
B18,37.82274680,-122.22926590,18
B2,37.82262550,-122.22835500,13
B20,37.82337530,-122.22834190,19
B21,37.82339625,-122.22838950,18
B22,37.82309000,-122.22816000,46
B24,37.82531000,-122.23026000,165
B25,37.82245000,-122.22819000,0
B26,37.82314000,-122.22926000,0
B27,37.82365000,-122.22851000,24
B28,37.82261000,-122.22929000,25
B29,37.82323000,-122.22817000,0
B3,37.42376000,-122.22908000,0
B30,37.82541080,-122.23042600,0
B31,37.82528000,-122.25055000,0
B32,37.82567350,-122.23014500,6
B34,37.82543430,-122.23024490,132
B35,37.82375740,-122.22902450,16
B36,37.82379320,-122.22894040,58
B37,37.82266950,-122.22836440,0
B39,37.82363380,-122.22866480,32
B4,37.82348120,-122.22835770,0
B40,37.82354560,-122.22824230,68
B5,37.82311860,-122.22819670,187
B6,37.82341310,-122.22838100,9
B8,37.82516610,-122.23041500,204
B9,37.82248670,-122.23014500,22
G1,37.82258000,-122.23038000,0
G10,37.82339000,-122.22820000,10
G12,37.82233000,-122.22900000,0
G13,37.82305910,-122.22819240,0
G14,37.82232000,-122.22818000,0
G16,37.82379190,-122.28788400,10
G18,37.82257970,-122.23032940,0
G3,37.82215250,-122.22890050,4
G39,37.82349000,-122.22841000,0
G4,37.82240000,-122.22834000,0
G40,37.82221000,-122.22865000,58
G41,37.82279400,-122.22926090,7
G5,37.82256000,-122.22987000,0
G6,37.82246000,-122.22986000,59
G7,37.82571000,-122.23019000,5
G8,37.82282000,-122.22927000,12
G9,37.82254000,-122.22967000,0
M11,37.82254400,-122.23005450,16
M75,37.82247720,-122.23028420,0
M76,37.82248200,-122.23035630,17
M82,37.82311000,-122.23023000,5
M84,37.82364000,-122.22858000,0
M86,37.82255610,-122.22977150,0
M88,37.82303520,-122.22931660,0
M89,37.82293750,-122.23037030,0
M90,37.82268000,-122.23033000,
M91,37.82291000,-122.23034000,0
M92,37.82266000,-122.23033000,0
R1,37.82221210,-122.22842470,0
R10,37.82254000,-122.22991000,0
R10,37.82282180,-122.23034290,0
R11,37.82314700,-122.23040550,0
R12,37.82257860,-122.23045800,0
R13,37.82253520,-122.23002630,0
R14,37.82276480,-122.23044040,12
R16,37.82312000,-122.23012000,0
R17,37.82317350,-122.22971550,0
R18,37.82229220,-122.22835940,0
R19,37.82237820,-122.22920190,0
R21,37.82304900,-122.23034350,0
R22,37.82252990,-122.23025940,0
R23,37.82286730,-122.23053870,0
R24,37.82222930,-122.22898300,0
R25,37.82312530,-122.23028480,0
R26,37.82252830,-122.22928570,0
R27,37.82274790,-122.23034450,
R29,37.82314380,-122.23002230,0
R31,37.82298490,-122.23043540,0
R32,37.82255000,-122.23017000,0
R34,37.82217000,-122.22850000,0
R35,37.82301000,-122.23034000,0
R36,37.82252060,-122.22925960,
R37,37.82230670,-122.22910230,0
R38,37.82294000,-122.23036000,0
R7,37.82280000,-122.22922000,7
R9,37.82314040,-122.22992010,0
E34,37.81445430,-122.28787140,119
g19,37.81121000,-122.28965000,77
g20,37.81160000,-122.28431000,107
g21,37.81285000,-122.28354000,56
g22,37.81272540,-122.28278640,166
g23,37.81327740,-122.28357060,97
g24,37.81316940,-122.28363430,53
g25,37.81309550,-122.28814180,145
g26,37.81014290,-122.28702770,54
g28,37.81098520,-122.28454290,69
g29,37.81071870,-122.28464480,167
g30,37.81123290,-122.28799690,164
g32,37.81054890,-122.28825580,132
g33,37.81294900,-122.28367890,55
g35,37.81449240,-122.28510380,190
g36,37.81374100,-122.28816190,75
g37,37.81273000,-122.28276000,131
g38,37.81463000,-122.28519000,199
m1,37.81252000,-122.28400000,150
m10,37.81473550,-122.28545210,193
m100,37.81110970,-122.28771770,176
m106,37.81078000,-122.28698000,69
m109,37.80948000,-122.28489000,138
m11,37.81050000,-122.28689000,982
m11,37.81357000,-122.28348000,96
m11,37.81370000,-122.28777000,88
m12 ,37.81470000,-122.28782000,126
m120,37.81324000,-122.28375000,216
m121,37.81307000,-122.28807000,62
m122,37.81383000,-122.28818000,70
m13,37.81463000,-122.28508000,169
m14,37.81123390,-122.28800830,95
m14,37.81310000,-122.28806000,121
m141,37.81284330,-122.28388780,487
m142,37.81431390,-122.28789840,72
m144,37.81090550,-122.28793930,113
m15,37.81123000,-122.28800830,150
m16,37.81150000,-122.28791450,117
m18,37.81147000,-122.28437000,71
m19,37.81108000,-122.28433000,26
m2,37.81053810,-122.28822690,104
m20,37.81005000,-122.28703000,644
m21,37.81370000,-122.28814000,70
m22,37.81103610,-122.28807470,167
m23,37.81380000,-122.28807000,63
m24,37.81044000,-122.28458000,90
m25,37.81044000,-122.28458000,74
m26,37.81366000,-122.28345000,239
m27,37.81108000,-122.28809000,195
m28,37.81411000,-12228326.00000000,223
m29,37.81455000,122.28527000,182
m3,37.81033260,-122.28812060,176
m30,37.81390000,-122.28881600,115
m31,37.81304000,-122.28804000,83
m32,37.81039000,-122.28819000,77
m33,37.81144000,-122.28424000,46
m34,37.81033000,-122.28416000,65
m35,37.81173000,-122.28413000,48
m36,37.81046000,-122.28458000,56
m37,37.81000000,-122.28709000,139
m38,37.81036000,-122.28834000,242
m39,37.81058600,-122.28453860,58
m4,37.81067000,-122.28814000,79
m40,37.80998000,-122.28477000,173
m41,37.81131210,-122.28429850,129
m42,37.81314000,-122.28796000,89
m43,37.81314000,-122.28796000,193
m44,37.81290000,-122.28251000,17
m45,37.81312000,-122.28262000,34
m46,37.81388000,-122.28336000,60
m47,37.81290000,-122.28256000,49
m48,37.81274000,-122.28270000,522
m49,37.81322000,-122.28268000,313
m5,37.81456000,-122.28486000,114
m51,37.81099050,-122.28689020,40
m52,37.81001000,-122.28707000,62
m53,37.81426000,-122.28799000,77
m54,37.81306000,-122.28832000,74
m55,37.80991000,-122.28994000,72
m56,37.81109000,-122.28449000,206
m57,37.81072000,-122.28811200,161
m6,37.81107000,-122.28800000,84
m7,37.81306790,-122.28804890,401
m70,37.81047290,-122.28475750,113
m72,37.81070550,-122.28455770,221
m75,37.81173880,-122.28414630,51
m76,37.81110760,-122.28433100,41
m78,37.81303560,-122.28799897,82
m79,37.81314180,-122.28810960,108
m79,37.81436610,-122.28791281,165
m8,37.81305200,-122.28809000,64
m80,37.81345440,-122.28826580,104
m80,37.81345440,-122.28826580,132
m81,37.81105000,-122.28804000,269
m82,37.81457450,-122.28540460,308
m83,37.81052010,-122.28695250,733
m84,37.81325200,-122.28373620,331
m86,37.81050000,-122.28382000,325
m87,37.81251910,-122.28286850,155
m88,37.81411280,-122.28339630,43
m89,37.81046310,-122.28800610,204
m9,37.81096080,-122.28789330,36
m90,37.81396580,-122.28348910,576
m91,37.81022110,-122.28727240,166
m92,37.81066100,-122.28454860,139
m93,37.81021940,-122.28469300,48
m94,37.81290030,-122.28269120,82
m95,37.80875990,-122.28731990,58
m96,37.81467860,-122.28493790,89
m97,37.81339690,-122.28352600,254
m98,37.81295990,-122.28269660,40
m99,37.81155070,-122.28421100,8
r3,37.81024460,-122.28698440,20
r4,37.81304750,-122.28792120,113
r5,37.81911725,-122.28427400,89
r6,37.81306290,-122.28806370,84
12204 14th Street,37.81012508,-122.2883569,6
1415 Magnolia,37.81043283,-122.2872724,150
1523 Union,37.81129971,-122.2882137,444
1525 Chestnut,37.81074377,-122.2849193,1366
1525 Chestnut ,37.81073517,-122.28493,22700
1525 Union,37.81150527,-122.2881617,"71,300"
1821 Chestnut,37.81278419,-122.284216,1361
1829 Linden ,37.81267744,-122.283019,19
1920 Lindon,37.81302918,-122.2823482,37330
1925 Chestnut ,37.81348243,-122.2838204,5433
1931 Chestnut,37.81360601,-122.2838312,588
2007 Chestnut ,37.81383441,-122.2837159,147
